ID,Title,Category,Duration,Rating,Rating Count,Release Date,Popularity,Director,Writer,Description,Story,Details
103,The Wire ,"Crime,Drama,Thriller",59min,9.4,"193,800",TV Series (2002–2008),"104
      (",David Simon,"Dominic West,Lance Reddick,Sonja Sohn","104
      (","Set in Baltimore, this show centers around the city's inner-city drug scene. It starts as mid-level drug dealer, D'Angelo Barksdale beats a murder rap. After a conversation with a judge, Det. James McNulty has been assigned to lead a joint homicide and narcotics team, in order to bring down drug kingpin Avon Barksdale. Avon Barksdale, accompanied by his right-hand man Stringer Bell, enforcer Wee-Bey and many lieutenants (including his own nephew, D'Angelo Barksdale), has to deal with law enforcement, informants in his own camp, and competition with a local rival, Omar, who's been robbing Barksdale's dealers and reselling the drugs. The supervisor of the investigation, Lt. Cedric Daniels, has to deal with his own problems, such as a corrupt bureaucracy, some of his detectives beating suspects, hard-headed but determined Det. McNulty, and a blackmailing deputy. The show depicts the lives of every part of the drug ""food chain"", from junkies to dealers, and from cops to politicians.                ,","USA,English,Greek,Mandarin,Spanish,Baltimore, Maryland, USA,company contact information,IMDbPro,Dolby Digital,Dolby,Color"
104,Jane Doe #38 ,"Crime,Drama,Mystery",43min,8.8,118,"Episode aired 14 July 2014
,",,Steve Robin,"James Duff,Michael Alaimo",,"After a young runaway is murdered and thrown in a trash can, the Major Crimes unit is led on a long, puzzling hunt to find the deceased girl's killer - and the girl's identity. Meanwhile, Raydor consults her estranged husband, Jack, about a big proposition she has for Rusty.                ,","Official Website,USA,English,Spanish,company contact information,IMDbPro,Dolby Digital,Color"
105,Episode #1.6 ,"Music,Talk-Show",,,,"Episode aired 11 May 2014
,",,"Aled Jones,Tom Conti,Samia Ghadie",,,,"company contact information,IMDbPro"
106,Cheers ,"Comedy,Drama",22min,7.8,"35,106",TV Series (1982–1993),,"James Burrows,Glen Charles,Les Charles","Ted Danson,Rhea Perlman,John Ratzenberger",,"The lives of the disparate group of employees and patrons at a Boston watering hole called Cheers over eleven years is presented. Over much of this period, Sam Malone, a womanizing ex-Boston Red Sox pitcher and an alcoholic, owns the bar, its purchase and this life which was his salvation from his alcoholism which was largely the cause of the end of his baseball career. He ends up having a love-hate relationship with intellectual Diane Chambers, who he hires as a waitress and whose cultured mentality is foreign to anyone else in the bar. He also has an evolving relationship with Rebecca Howe, who managed the bar for the Lily Corporation which bought it from Sam, but whose outward business savvy belied the fact that she was a mess of a woman who was struggling to find her place in life. The regular patrons are largely a bunch of self-identified losers, who bond because of their shared place in life, and because Cheers is their home away from home, and in many ways more a home than ...                ,","USA,English,Boston, Massachusetts, USA,company contact information,IMDbPro,Mono,Stereo,Color"
107,"Kenkichi ,",Action,,8.4,9,"2012 (Japan)
,",,"Tak Sakaguchi,Sion Sono",Sion Sono,,,"Japan,Japanese,company contact information,IMDbPro,Color"
108,Holocaust ,"Drama,Romance,War",7h 55min,8.2,"3,393",TV Mini-Series (1978– ),,"Joseph Bottoms,Tovah Feldshuh,Rosemary Harris",,,"""Holocaust"" follows each member of the Jewish Family Weiss throughout Hitler's reign in Germany. One by one, the family members suffer the horrible fate of extermination under Anti-Semetic Nazi Law until only one son remains at the end of World War II. A sub-plot follows the story of Eric Dorf, a young German lawyer with a good heart who is changed into a mass murderer by membership in the SS.                ,","USA,English,Germany,company contact information,IMDbPro,Mono,Color"
109,The Good Book ,Comedy,30min,8.9,318,"Episode aired 28 August 2016
,",,Jody Hill,"Danny McBride,John Carcieri",,"Gamby bonds with Amanda during teacher workday; Russell's patience is tested; Dr. Brown deals with the sudden appearance of her ex-husband, Dascious.","USA,English,company contact information,IMDbPro,Dolby Digital,Color"
110,Don't Trust the B---- in Apartment 23 ,Comedy,22min,7.2,"25,554",TV Series (2012–2013),,"Krysten Ritter,Dreama Walker,Michael Blaiklock",,,"June decides to move to New York city to pursue her dream job at a mortgage company, which comes with its own apartment. However, the company is shut down on her first day and the apartment is taken away. June moves in with Chloe, who is a con-artist and all-round party girl. At first, they don't get along. When Chloe's attempts to con June backfire, they end up becoming friends.                ,","USA,English,New York, USA,company contact information,IMDbPro,Stereo,Color"
111,"Khamsa Bab ,","Comedy,Drama",,6.2,720,"1983 (Egypt)
,",,Nader Galal,"Adel Imam,Nadia El Gendy,Fouad El-Mohandes",,a policeman get fired and start to drink inKhansa bab bar and try to help the girl who works there,"Egypt,Arabic,company contact information,IMDbPro,Color"
112,"Twelve Monkeys ,","Mystery,Sci-Fi,Thriller",2h 9min,8.1,"468,520","5 January 1996 (USA)
,",,Terry Gilliam,"Chris Marker,David Webb Peoples",,"An unknown and lethal virus has wiped out five billion people in 1996. Only 1% of the population has survived by the year 2035, and is forced to live underground. A convict (James Cole) reluctantly volunteers to be sent back in time to 1996 to gather information about the origin of the epidemic (who he's told was spread by a mysterious ""Army of the Twelve Monkeys"") and locate the virus before it mutates so that scientists can study it. Unfortunately Cole is mistakenly sent to 1990, six years earlier than expected, and is arrested and locked up in a mental institution, where he meets Dr. Kathryn Railly, a psychiatrist, and Jeffrey Goines, the insane son of a famous scientist and virus expert.                ,","USA,English,French,344 North Gay Street, Baltimore, Maryland, USA,company contact information,IMDbPro,DTS-Stereo,DTS,Dolby SR,Color"
113,Pilot ,"Drama,Thriller",43min,8.4,887,"Episode aired 21 September 2016
,",,Paul McGuigan,"David Guggenheim,David Guggenheim",,"US President Richmond will be making his next State of the Union address later today. In his Cabinet is Tom Kirkman, Minister of Housing and Urban Development, which is on the lowest rung of Cabinet positions. Non-elected Tom, who was appointed from an academic career, and the President often do not see eye to eye, the latter who is losing political respect for the former. As such, the President has not included any initiatives raised by Tom in the address, and has informed Tom through his Chief of Staff Charlie Langdon that he will soon be demoted to a position based in Montreal (which is framed as a promotion) or fired if he does not accept the demotion. Further, Tom has been assigned the designated survivor for the address, meaning that he will be housed in a secret secured bunker while the rest of the Cabinet enjoys the public visibility by joining the President at the Capitol for the address. Things for all involved change drastically when the Capitol is bombed during the address...                ,","USA,English,Latin,company contact information,IMDbPro,Stereo,Color"
114,"She-Devil ,",Comedy,1h 39min,5.4,"12,721","8 December 1989 (USA)
,",,Susan Seidelman,"Fay Weldon,Barry Strugatz",,"Ruth is a wife and mother who tries to please her husband (Bob) but finds him pulling away and spending more time at the office than at home. When he begins an affair with a famous romance novelist (Mary) and leaves Ruth to raise their kids, she decides she's had enough of playing nice docile housewife. Ruth endeavors to show Bob and Mary the truth about themselves and each other, while creating a new successful life of her own.                ,","USA,English,French,Belle Terre, Suffolk, New York, USA,company contact information,IMDbPro,Dolby SR,Color"
115,Command & Control ,"Crime,Drama,Mystery",44min,8.7,144,"Episode aired 12 October 2015
,",,"James Hanlon,Terrence O'Hara","Shane Brennan,Kyle Harimoto",,"While Callen and Sam are taking it easy someone gives them a phone. Someone then calls them saying that unless they do what he says he will set off a bomb. To prove he's serious he sets one off in front of them. He tells them to dump their phones and go somewhere. Later Eric discovers that their phones have gone dead so he tries to find out what happened to them. He learns about the explosion and informs Granger, who sends Kensi and Deeks to check on it. They start with the messenger who gave them the phone. They go to see him and find him dead. Callen and Sam meet the man and he sends him to rob a some diamonds. Eric and Nell do some digging and they think they find out who the man who is making Callen and Sam do what they are doing is. .                ,","USA,English,Los Angeles, California, USA,company contact information,IMDbPro,Dolby Digital,Color"
116,True Blood ,"Drama,Fantasy,Mystery",55min,7.9,"205,001",TV Series (2008–2014),"150
      (",Alan Ball,"Anna Paquin,Stephen Moyer,Sam Trammell","150
      (","The series follows Sookie Stackhouse, a barmaid living in Louisiana who can read people's minds, and how her life is turned upside down when the Vampire Bill, walks into her place of employment two years after vampires 'came out of the coffin' on national television.                ,","Official Facebook,Official Site,USA,English,German,Swedish,Russian,Blue Cloud Movie Ranch - 20000 Blue Cloud Road, Santa Clarita, California, USA,company contact information,IMDbPro,Dolby Digital,Color"
117,"In Another Country ,",Drama,1h 29min,6.4,"2,169","31 May 2012 (South Korea)
,",,Sang-soo Hong,Sang-soo Hong,,A three-tiered story centered on a trio of French tourists visiting the same seaside resort.,"Official site [Japan],South Korea,Korean,English,French,company contact information,IMDbPro,Dolby,Dolby Digital,Color"
118,White Lies Part 3 ,"Crime,Drama,Mystery",42min,8.5,46,"Episode aired 19 September 2016
,",,Michael M. Robin,"James Duff,Carson Moore",,Major Crimes hurtles forward towards the mysterious and elusive mastermind in the Dwight Darnell murders while Buzz and Rusty's investigation into the murder of Buzz's father comes to an unexpected end.,"USA,English,company contact information,IMDbPro,Dolby Digital,Color"
119,Seth Rogen/Victor Cruz/Chvrches ,"Comedy,Music,Talk-Show",41min,6.5,11,"Episode aired 2 October 2015
,",,"Jimmy Fallon,Seth Rogen,Victor Cruz",,,", (, (2015)); New York Giants wide receiver ,. Also: , performs.","USA,English,company contact information,IMDbPro,Color"
120,"Sherlock Holmes and the Case of the Silk Stocking ,","Crime,Drama,Mystery",1h 39min,6.8,"2,099","TV Movie 26 December 2004
,",,Simon Cellan Jones,Allan Cubitt,,A serial killer stalking the teen-aged daughters of the aristocracy brings Sherlock Holmes out of his drug-filled semi-retirement.,"PBS Masterpiece Theatre [United States],UK,USA,English,Queen Alexandra's House - Hall of residence, Bremner Road, Kensington, London, England, UK,company contact information,IMDbPro,Stereo,Color"
121,"Cube Zero ,","Horror,Mystery,Sci-Fi",1h 37min,5.7,"28,616","22 February 2005 (USA)
,",,Ernie Barbarash,Ernie Barbarash,,A young man whose job is to watch over the Cube endeavours to rescue an innocent woman trapped in one of its rooms.,"Canada,USA,English,French,Spanish,Toronto, Ontario, Canada,company contact information,IMDbPro,Dolby Digital,Color"
122,Kill Them All ,"Action,Adventure,Biography",54min,9.7,"3,713","Episode aired 16 April 2010
,",,Jesse Warn,"Steven S. DeKnight,Steven S. DeKnight",,"An epic battle between Spartacus and his gladiator brothers, against Batiatus and his Guards.","USA,Australia,New Zealand,English,company contact information,IMDbPro,Dolby Digital,Color"
123,Hitman ,,,6.7,6,"Episode aired 15 March 2016
,",,Max Song,"Andrew Bird,Spencer Gilbert",,,"company contact information,IMDbPro"
124,Chicken Nuggets and a Triple Homicide ,"Comedy,Drama,Romance",20min,8.3,151,"Episode aired 13 November 2014
,",,Ted Wass,"Chuck Lorre,Eddie Gorodetsky",,"Christy wants Violet to come back. She meets a Realtor who has a house for lease. The house seems great till she tells Christy the house's history. Christy decides to take it. They move in but learn more about the house. Bonnie tries to get Alvin to reconcile with Christy.                ,","company contact information,IMDbPro"
125,The Grinder ,Comedy,21min,7.2,"5,041",TV Series (2015–2016),"419
      (","Andrew Mogel,Jarrad Paul","Rob Lowe,Fred Savage,Mary Elizabeth Ellis","419
      (","Follows the life of a former hit TV series actor by the name of Dean Sanderson (Rob Lowe). Dean has returned to his hometown of Boise, Idaho,after years of portraying a lawyer on the fictitious television show THE GRINDER in Hollywood. His years of portraying a lawyer on television has somehow given him the idea he is actually qualified to work in and perhaps run his family's real-life law firm.                ,","Official Facebook,Official site,USA,English,Los Angeles, California, USA,company contact information,IMDbPro,Dolby,Color"
126,"Rumbos Paralelos ,",Drama,,6.3,159,"20 May 2016 (Mexico)
,",,Rafael Montero,Sharon Kleinberg,,"Gaby, Fer's mother, and Silvia, Diego's mother, live their lives happily, until one day, due to Diego's kidney disease they find out that the kids were switched at birth. Silvia wins Fer's custody trial. Diego ends up with Gaby, whom and in order to save Diego's life has to look for his biological father.","Mexico,Spanish,company contact information,IMDbPro,Color"
127,"Into the Forest ,",Thriller,1h 43min,5.5,39,"6 August 2016 (Switzerland)
,",,Gilles Marchand,"Gilles Marchand,Dominik Moll",,,"France,Sweden,French,company contact information,IMDbPro,Color"
128,"Lucifer Rising ,","Short,Fantasy",29min,7.2,"1,878","10 April 1974 (USA)
,",,Kenneth Anger,"Kenneth Anger,Bobby Beausoleil,Donald Cammell",,Egyptian gods summons the angel Lucifer - in order to usher in a new occult age.,"USA,UK,West Germany,English,Avebury Stone Circle, Avebury, Wiltshire, England, UK,company contact information,IMDbPro,Mono,Color"
129,"Marvel One-Shot: The Consultant ,","Short,Sci-Fi",4min,6.6,"3,132","Video 13 September 2011
,",,Leythum,Eric Pearson,,"Agents Coulson and Sitwell plan to derail General Thaddeus ""Thunderbolt"" Ross from interfering with S.H.I.E.L.D. affairs with a very special person.","USA,English,California, USA,company contact information,IMDbPro,Color"
130,"Neko no shukai ,","Animation,Short",1min,7.3,155,"2007 (Japan)
,",,Makoto Shinkai,Makoto Shinkai,,A cat sick of having its tail stepped on desires to unleash his anger with the help of other cats.,"Japan,Japanese,company contact information,IMDbPro,Color"
131,"The Mourning Forest ,",Drama,1h 37min,7.3,"1,722","23 June 2007 (Japan)
,",,Naomi Kawase,Naomi Kawase,,"A care-giver at a small retirement home takes one of her patients for a drive to the country, but the two wind up stranded in a forest where they embark on an exhausting and enlightening two-day journey.","Official site,Official site,Japan,France,Japanese,Nara, Japan,company contact information,IMDbPro,Dolby SR,Color"
132,,,,,,,,,,,,
133,"The Invisible Ray ,","Horror,Sci-Fi,Thriller",1h 20min,6.6,"1,529","20 January 1936 (USA)
,",,Lambert Hillyer,"John Colton,Howard Higgin",,"Visionary scientist Janos Rukh convinces a group of scientists and supporters to mount an expedition to the African continent to locate and study an ancient meteorite of great significance. He exposes himself to the highly toxic radiation of the meteorite, and while an antidote devised by Dr. Benet saves him from death by radiation poisoning, his naked touch causes instant death to others. Back in London, the benefits of the meteorite's controlled radiation offer Dr. Benet an opportunity to restore eyesight to the blind. The antidote's toxicity excites Prof. Rukh into paranoid rages as he seeks revenge against the members of his expedition, who he accuses of stealing his discovery for their own glory.                ,","USA,English,French,Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA,company contact information,IMDbPro,Mono, Black and White"
134,"Lawrence of Arabia ,","Adventure,Biography,Drama",3h 36min,8.4,"195,519","11 December 1962 (UK)
,",,David Lean,"T.E. Lawrence,Robert Bolt",,"Due to his knowledge of the native Bedouin tribes, British Lieutenant , is sent to Arabia to find Prince Faisal and serve as a liaison between the Arabs and the British in their fight against the Turks. With the aid of native Sherif Ali, Lawrence rebels against the orders of his superior officer and strikes out on a daring camel journey across the harsh desert to attack a well-guarded Turkish port.                ,","Official Facebook,UK,USA,English,Arabic,Turkish,Morocco,company contact information,IMDbPro,70 mm 6-Track,Mono,4-Track Stereo,Color"
135,Kill 'Em All ,"Drama,Fantasy,Horror",42min,8.2,286,"Episode aired 29 April 2016
,",,Kellie Cyrus,"Kevin Williamson,Julie Plec",,"With Bonnie's life at stake and an uphill battle ahead of them, Damon and Enzo lead the charge to save Bonnie before her condition worsens. Stefan reluctantly teams up with Matt for the sake of Bonnie and uncovers the truth behind Matt's anger towards him. Elsewhere, determined to help her best friend, Caroline joins Alaric on a mission and quickly realizes how much she's missed her former supernatural lifestyle. Finally, after their plan takes an unexpected turn, Damon makes a fateful decision that will forever change his relationship with Bonnie.                ,","USA,English,Covington, Georgia, USA,company contact information,IMDbPro,Stereo,Color"
136,6 Months Later ,"Crime,Drama,Mystery",44min,8.1,57,"Episode aired 8 March 2015
,",,David Frazee,"James Thorpe,Daniel Cerone",,"The killer: Derek Caster. The victim: London Montgomery, the grown daughter of wealthy industrialist, Neville Montgomery. Six months out of drug rehab and seemingly clean during that time, London is found dead from being poisoned on what was the night of her birthday party joint drug rehab facility fundraiser. Betty suspects that the drug was purposefully given to London as what she believed was cocaine. Oscar recuses himself from the case when he learns that the last person to text London before she died was his father, Franco Vega, who has a thing for younger women like London. As such, Franco becomes a prime suspect. Because of the need for extra human resources on the case, Boyd asks Angie if she is willing to be temporarily placed back in Homicide from her desk job in Recruiting which she requested six months ago following Oscar killing to protect her, and her and Mark's ten year secret coming to a head. The desk job has not rejuvenated Angie as she had hoped, and as such she is ...                ,","Canada,English,2400 Court Motel - 2400 Kingsway, Vancouver, British Columbia, Canada,company contact information,IMDbPro,Color"
137,"Halloween 4: The Return of Michael Myers ,","Horror,Thriller",1h 28min,5.9,"30,079","21 October 1988 (USA)
,",,Dwight H. Little,"Dhani Lipsius,Larry Rattner",,"It's October 30, 1988 and Michael Myers has been in a coma since his pursuit of Laurie Strode, 10 years ago, was finally stopped (events of H1 and H2). However when he is transfered from Richmond Mental Institute to Smith's Grove he awakes when he hears that he has a niece in Haddonfield and after killing the transfer crew he escapes. In Haddonfield, the niece, Jamie, has been adopted by the Carruthers family but keeps having nightmares about Michael (but she doesn't know who he is). On Halloween night, Jamie goes out trick and treating, little knowing that her murdering Uncle is following her and her step-sister Rachel. Rushing to her aid is Dr. Loomis and with the help of Sheriff Meeker starts to search the town for Michael and to find Jamie to protect her. But can anything stop Michael this time?                ,","Official Facebook,Trancas International Films,USA,English,Utah, USA,company contact information,IMDbPro,Ultra Stereo,Color"
138,"Riphagen ,",War,2h 11min,7.3,293,"22 September 2016 (Netherlands)
,",,Pieter Kuijpers,"Paul Jan Nelissen,Thomas van der Ree",,"The story about Riphagen, a cunning Dutch traitor during WW2 who helped Nazi round up Jews tricking their treasures for himself. He destroyed resistant groups, making many who pursued justice after the War look like fools.","Produktion Company Website,Netherlands,Dutch,company contact information,IMDbPro,Color"
139,Shiva ,Talk-Show,43min,7.8,17,"Episode aired 22 May 2016
,",,Russell Norman,"Chris Hardwick,Cliff Curtis,Marlene Forte",,"Host Chris Hardwick and guests Gale Anne Hurd, Cliff Curtis, Marlene Forte, and Rubén Blades discuss ""Fear the Walking Dead"" episode ""Shiva"".","USA,English,company contact information,IMDbPro,Color"
140,"Spider-Man ,","Action,Adventure,Romance",2h 1min,7.3,"550,963","3 May 2002 (USA)
,",,Sam Raimi,"Stan Lee,Steve Ditko",,"Based on Marvel Comics' superhero character, this is a story of Peter Parker who is a nerdy high-schooler. He was orphaned as a child, bullied by jocks, and can't confess his crush for his stunning neighborhood girl Mary Jane Watson. To say his life is ""miserable"" is an understatement. But one day while on an excursion to a laboratory a runaway radioactive spider bites him... and his life changes in a way no one could have imagined. Peter acquires a muscle-bound physique, clear vision, ability to cling to surfaces and crawl over walls, shooting webs from his wrist ... but the fun isn't going to last. An eccentric millionaire Norman Osborn administers a performance enhancing drug on himself and his maniacal alter ego Green Goblin emerges. Now Peter Parker has to become Spider-Man and take Green Goblin to the task... or else Goblin will kill him. They come face to face and the war begins in which only one of them will survive at the end.                ,","Columbia Pictures [United States],Columbia TriStar [UK],USA,English,Valhalla, New York, USA,company contact information,IMDbPro,DTS,Dolby Digital,SDDS,Color"
141,"Fireworks, Should We See It from the Side or the Bottom? ,",Drama,49min,,,"TV Movie 28 October 2016
,",,Shunji Iwai,Shunji Iwai,,"On the day when a fireworks display is planned, Norimichi, Yusuke, and their friends at school in a Japanese seaside town cannot agree whether or not fireworks are ""flat"" or ""round"" when they explode in the sky. With her parents divorcing, the young teenager Nazuna has more serious matters on her mind. Although unknown to the others, Nazuna's mother intends to take her away after the summer break. When Norimichi and Yusuke race 50 meters in the swimming pool, Nazuna secretly decides that the winner will accompany her when she runs away from home. Meanwhile the gang from school decides that the best way to figure out the shape of fireworks is to view them from the side, and they set out for a lighthouse above the beach from which the fireworks display will be fired.                ,","Japan,Japanese,company contact information,IMDbPro"
142,The Disappointments Room ,"Comedy,Talk-Show",58min,,,"Episode aired 22 September 2016
,",,"Brad Jones,Brian Lewis",,,,"company contact information,IMDbPro"
143,"Yozgat Blues ,","Comedy,Drama,Music",1h 33min,6.9,"1,215","6 December 2013 (Turkey)
,",,Mahmut Fazil Coskun,"Mahmut Fazil Coskun,Tarik Tufan",,"A barber in Yozgat - a very small city in the middle Anatolia - has an emotional breakdown when he runs into Yavuz and Nese who have come to town to sing in a small music hall-bar.                ,","Official site,Turkey,Germany,France,Turkish,company contact information,IMDbPro,Color"
144,Dead of Summer ,"Drama,Horror,Mystery",1h,6.2,"2,665",TV Series (2016– ),,"Ian B. Goldberg,Adam Horowitz,Edward Kitsis","Elizabeth Mitchell,Elizabeth Lail,Alberto Frezza",,"Set in the late 1980s, school is out for the summer, and a sun-drenched season of firsts beckons the counselors at Camp Stillwater, a seemingly idyllic Midwestern summer camp, including first loves, first kisses - and first kills. Stillwater's dark, ancient mythology awakens, and what was supposed to be a summer of fun soon turns into one of unforgettable scares and evil at every turn.                ,","USA,English,Vancouver, British Columbia, Canada,company contact information,IMDbPro,Color"
145,Revelations ,"Crime,Drama,Mystery",1h,8.7,"1,774","Episode aired 7 February 2007
,",,Guy Norman Bee,"Jeff Davis,Chris Mundy",,"Serial killer Tobias Hankle, a religious fanatic, keeps kidnapped Dr. Spencer Reid in a wood cabin, and forces the brilliant, terrified kid to 'confess' by belting his head and bare foot, then injects his own addictive drug; in trance Spencer thinks back to his own dysfunctional mother when he was a minor, till he could get her committed. The team learns Tobias was systematically abused by his Bible-obsessed father Charles, killed the fiend but developed a split personality, including his father's abusive one as Raphael, an angel of violent 'divine' vengeance. Tobias arranges a web-cam to the team showing Reid in his power, ordered to pick the next victim from his six profiling colleagues in order to be allowed saving another, but refusing to take the psycho's word. When he chooses Hodge next time, misquoting from Genesis for an absurd reason, Aaron himself cracks that clue...                ,","USA,English,company contact information,IMDbPro,Stereo,Dolby Digital,Color"
146,"Strike a Pose ,","Documentary,Music",1h 23min,7.7,214,"26 May 2016 (Netherlands)
,",,"Ester Gould,Reijer Zwaan","Luis Camacho,Oliver Crumes,Salim Gauwloos",,"In 1990, seven young male dancers - 6 gay, 1 straight - joined Madonna on her most controversial tour. On stage and in the iconic film Truth or Dare they showed the world how to express yourself. Now, 25 years later, they reveal the truth about life during and after the tour. Strike a Pose is a dramatic tale about overcoming shame and finding the courage to be who you are.","Official Facebook,Official site,Netherlands,Belgium,English,Spanish,company contact information,IMDbPro,Color, Black and White"
147,Anna and the King ,"Comedy,Romance",30min,7.4,298,TV Series (1972– ),,"Yul Brynner,Samantha Eggar,Keye Luke",,,"In 1862, a strong American schoolteacher, with her young son, travels to Siam to serve as the personal educator to the King's many children. Though Anna and the King often clash due to their disparate personalities and cultures, a respect grows between them.                ,","USA,English,20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA,company contact information,IMDbPro,Mono,Color"
148,"La Vie en Rose ,","Biography,Drama,Music",2h 20min,7.6,"66,421","20 July 2007 (USA)
,",,Olivier Dahan,"Isabelle Sobelman,Olivier Dahan",,"An un-chronological look at the life of the Little Sparrow, Édith Piaf (1915-1963). Her mother is an alcoholic street singer, her father a circus performer, her paternal grandmother a madam. During childhood she lives with each of them. At 20, she's a street singer discovered by a club owner who's soon murdered, coached by a musician who brings her to concert halls, and then quickly famous. Constant companions are alcohol and heartache. The tragedies of her love affair with Marcel Cerdan and the death of her only child belie the words of one of her signature songs, ""Non, je ne regrette rien."" The back and forth nature of the narrative suggests the patterns of memory and association.                ,","France,UK,Czech Republic,French,English,Brasserie Julien, 16 rue du Faubourg Saint-Denis, Paris 10, Paris, France,company contact information,IMDbPro,Dolby Digital,DTS,Color"
149,"Coral Palms, Part 3 ","Comedy,Crime",20min,8.3,176,"Episode aired 4 October 2016
,",,Payman Benz,"Daniel J. Goor,Michael Schur",,"The team goes to Florida to help Jake and Holt take down Jimmy Figgis, but their plan falls through due to an unexpected injury and another interruption from Sheriff Reynolds.","English,CBS Studio Center - 4024 Radford Avenue, Studio City, Los Angeles, California, USA,company contact information,IMDbPro,Stereo,Color"
150,The One Who Sows His Own Flesh ,"Drama,Horror,Thriller",52min,7.7,114,"Episode aired 1 April 2016
,",,Craig David Wallace,Aaron Martin,,"Sarah and Cam investigate Ariel Peterson's disappearance, Vaughn feels the pressure, and Dylan makes some huge demands.","English,company contact information,IMDbPro,Color"
151,"Train to Busan ,","Action,Horror,Thriller",1h 58min,7.7,"18,130","20 July 2016 (South Korea)
,",,Sang-ho Yeon,Sang-ho Yeon,,"Sok-woo and his daughter Soo-ahn are boarding the KTX, a fast train that shall bring them from Seoul to Busan. But during their journey, the train is overrun by zombies which kill several of the train staff and other passengers.While the KTX is shooting towards Busan, the passengers have to fight for their lives against the zombies.                ,","Cannes Film Festival's facebook,Cannes Film Festival's website,South Korea,Korean,Dongdaegu Station, Daegu, Yeongnam, South Korea,company contact information,IMDbPro,Dolby Digital,Color"
152,"The Dark Knight Rises ,","Action,Thriller",2h 44min,8.5,"1,161,580","20 July 2012 (USA)
,",,Christopher Nolan,"Jonathan Nolan,Christopher Nolan",,"Despite his tarnished reputation after the events of The Dark Knight, in which he took the rap for Dent's crimes, Batman feels compelled to intervene to assist the city and its police force which is struggling to cope with Bane's plans to destroy the city.                ,","Official Facebook,Official site,USA,UK,English,Arabic,Downtown, Los Angeles, California, USA,company contact information,IMDbPro,SDDS,Datasat,Dolby Digital,Color"
153,"Loving ,","Biography,Drama",2h 3min,6.4,527,"4 November 2016 (USA)
,",,Jeff Nichols,Jeff Nichols,,"Richard and Mildred Loving, an interracial couple, are sentenced to prison in Virginia in 1958 for getting married.","Official site,UK,USA,English,company contact information,IMDbPro,Color"
154,"The Consultant ,","Action,Comedy",1h 43min,6.2,25,"Video 11 September 2011
,",,Cliff Van Cott,Cliff Van Cott,,"Jack, a desperate and unemployed office worker takes a job with a less than reputable consulting firm where he meets up with his friend from a former company. Jack is unaware of the unscrupulous methods his company uses and is soon followed by the FBI. One day, he meets the girl of his dreams, but only gets her dog. There's lots of laughs, funny characters and a surprise ending.                ,","USA,English,company contact information,IMDbPro,Color"
