ID,Title,Year,Director,Writer,Genre,Audience Rating,Movie Rating,Duration,Production,Release Date at Theaters,Release Date on DVD,Box Office Revenue,Cast,Description
54,"Trust,
                Trust",(1991),Hal Hartley,Hal Hartley,"Art House & International,Comedy,Drama",",
            4.3/5","R,
        ,
        ,
    ,
        ,
        ,",107 minutes,,"Jun 1, 1991","Feb 20, 1992",",","Adrienne Shelly,
                Martin Donovan,
                Merrit Nelson,
                Merritt Nelson,
                John A. MacKay,
                Edie Falco,
                John McKay,
                Marko Hunt,
                Gary Sauer,
                Matt Malloy,
                Tom Thon,
                Patricia Sullivan,
                Bill Sage,
                Nena Segal,
                Karen Sillas,
                Pamela Stewart,
                Jeff Howard,
                Christopher Cooke,
                Chris Cooke,
                Suzanne Costollos","The unlikely relationship between a pregnant high school student and a brooding electronics repairman lies at the center of this droll comedy from writer-director Hal Hartley. Intelligent but unconventional, Maria (Adrienne Shelly) has more to worry about than her pregnancy, as her expectant state drives away her boyfriend and triggers a fatal heart attack in her father. Meanwhile, Matthew (Martin Donovan) has his own problems: an abusive father, a heightened sense of morality that prevents him from taking semi-lucrative television repair jobs, and a suicidal streak that causes him to carry around a potentially deadly grenade. The meeting of these troubled minds at first promises to be beneficial for both, but sours as they are forced to interact with each other's dysfunctional families. As in all of Hartley's pictures, the narrative is filtered through an amusingly detached sensibility that some may consider an acquired taste."
55,"I Can Do Bad All By Myself,
                I Can Do Bad All By Myself",(2009),Tyler Perry,Tyler Perry,Comedy,",
            4.0/5","PG-13 (for mature thematic material involving a sexual assault on a minor, violence, drug references and smoking),
        ,
        ,
    ,
        ,
        ,",,Lionsgate Films,"Sep 11, 2009","Jun 28, 2005","$51,697,449.00","Tyler Perry,
                Taraji P. Henson,
                Adam Rodriguez,
                Brian J. White,
                Hope Olaide Wilson,
                Kwesi Boakye,
                Freddy Siglar,
                Gladys Knight,
                Mary J. Blige,
                Eric Mendenhall,
                Marvin Winans,
                David Paulus,
                Randall Taylor,
                Tess Malis Kincaid,
                Cheryl B. Pratt,
                Joe E. Taylor Jr.,
                Judith Franklin,
                Jameaka Tubbs,
                Thomasina Walker,
                Jamilah Windham,
                Greta Glenn,
                Toni Redd,
                Tanya R. Rodriguez","A hard-living nightclub singer discovers the importance of family with the help of a handsome Mexican immigrant in this inspirational comedy drama from writer/director Tyler Perry. When pistol-packing granny Madea (Perry) awakens to the sound of her home being ransacked by wayward teen Jennifer (Hope Olaide Wilson) and her two younger brothers, she promptly marches the troubled kids over their aunt April's house. But despite being the only relative the kids can turn to, April (Taraji P. Henson) is hardly a role model; a self-destructive songbird with a serious drinking problem, she spends her nights at the club and relies on her married boyfriend, Raymond, to pay the bills. Suddenly, into April's life wanders Sandino (Adam Rodriguez), a hard-luck immigrant in search of some honest work. Before long, Sandino has moved into April's basement room, and formed a solid connection with the kids. The closer April and Sandino grow, the more April begins to recognize the importance of faith and family. When the time comes to say goodbye to her old ways and start a new life, the wounded chanteuse realizes that she may have finally found the true love that's always eluded her. ~ Jason Buchanan, Rovi"
56,Zombiemania,(2008),Donna Davies,,Documentary,",
            3.8/5","NR,
        ,
        ,",,,,,,,
57,Where Are the Children?,(1986),Bruce Malmuth,Jack Sholder,Drama,",
            4.0/5","R,
        ,
        ,",,,,,,,"In this melodrama that emphasizes emotion and a convoluted plot, Nancy Eldridge (Jill Clayburgh) has remarried after her divorce and is trying to recuperate from the tragedy of the deaths of her two children during her previous marriage. That means when her children by current husband Clay (Max Gail) are kidnapped, she is particularly distraught. When the identity of the kidnapper becomes clear, more facts about the past and the present are revealed, as events carry emotionally charged scenes to a larger-than-life ending."
58,"Wet Hot American Summer,
                Wet Hot American Summer",(2001),David Wain,"Michael Showalter,David Wain",Comedy,",
            3.6/5","R (for strong sexual content, language and a drug sequence),
        ,
        ,
    ,
        ,
        ,
    ,
                            ,",97 minutes,,"Jul 27, 2001","Jan 8, 2002",",","Janeane Garofalo,
                David Hyde Pierce,
                Michael Showalter,
                Marguerite Moreau,
                Paul Rudd,
                Zak Orth,
                Christopher Meloni,
                A.D. Miles,
                Molly Shannon,
                Gideon Jacobs,
                Ken Marino,
                Joe Lo Truglio,
                Michael Ian Black,
                Liam Norton,
                Amy Poehler,
                Bradley Cooper,
                Marisa Ryan,
                Howard Bernstein,
                Elizabeth Banks,
                Gabriel Millman,
                Kevin Sussman,
                Kevin Thomas Conroy,
                Christopher Cuzumano,
                Madeline Blue,
                Cassidy Ladden,
                Nina Hellman,
                Peter Salett,
                Judah Friedlander,
                Jacob Shoesmith Fox,
                Whitney Vance,
                Benjamin Coppola,
                H. Jon Benjamin,
                Jake Fogelnest,
                Ian Helfer,
                Jordan Maclean,
                Avi Setton,
                Kyle Gallner,
                Kathleen Pandolfo,
                Zachary Montgomery-Wicks,
                Danny Hopkins,
                Christopher Connors,
                Matt Carmeci,
                Stephen O'Brien,
                Timothy Gasiewski,
                Angel Berlane,
                Christi Berlane,
                Bob Walz,
                Joseph Kariuki,
                Donna Mitchell,
                Joe Bryan,
                Christine Loebsack,
                Sandra Kennedy,
                Keith Oney","The setting is Camp Firewood, the year 1981. It's the last day before everyone goes back to the real world, but there's still a summer's worth of unfinished business to resolve. At the center of the action is camp director Beth, who struggles to keep order while she falls in love with the local astrophysics professor. He is busy trying to save the camp from a deadly piece of NASA's Skylab which is hurtling toward earth. All that, plus: a dangerous waterfall rescue, love triangles, misfits, cool kids, and talking vegetable cans. The questions will all be resolved, of course, at the big talent show at the end of the day."
59,The Masquerader,(1914),Charles Chaplin,Charles Chaplin,"Art House & International,Comedy",",
            3.2/5","PG,
        ,
        ,",,,,,,,"Guy Bates Post stars in a double role in his film debut in this initial production from Richard Walton Tully. Post had previously starred in stage productions. Screen veterans Edward M. Kimball, Ruth Sinclair, and Herbert Standing are familiar names in the cast of this film that includes crowd scenes of what is supposed to be London, England."
60,"Fight Club,
                Fight Club",(1999),David Fincher,Jim Uhls,"Comedy,Drama",",
            4.2/5","R (for disturbing and graphic depiction of violent anti-social behavior, sexuality and language),
        ,
        ,
    ,
        ,
        ,
    ,
                        ,",139 minutes,,"Oct 15, 1999","Jun 6, 2000",",","Brad Pitt,
                Edward Norton,
                Helena Bonham Carter,
                Meat Loaf,
                Jared Leto,
                Zach Grenier,
                Richmond Arquette,
                Eion Bailey,
                David Andrews,
                George Maguire (II),
                Eugenie Bondurant,
                Christina Cabot,
                Sydney 'Big Dawg' Colston,
                Meat Loaf,
                Rachel Singer,
                Christie Cronenweth,
                Tim De Zarn,
                Ezra Buzzington,
                Dierdre Downing Jackson,
                Bob Stephenson,
                Charlie Dell,
                Rob Lanza,
                Van Quattro,
                Markus Redmond,
                Michael Girardin,
                Peter Iacangelo,
                Carl N. Ciarfalio,
                Matt Winston,
                Joon B. Kim,
                Pat McNamara,
                David Lee Smith,
                Holt McCallany,
                Joel Bissonnette,
                Evan Mirand,
                Robby Robinson,
                Lou Beatty Jr.,
                Thom Gossom Jr.,
                Valerie Bickford,
                Stuart Blumberg,
                Todd Peirce,
                Mark Fite,
                Bennie E. Moore,
                W. Lauren Sanchez,
                Tyrone R. Livingston,
                Owen Masterson,
                David Jean Thomas,
                Paul Carafotes,
                Christopher John Fields,
                Anderson Bourell,
                Scotch Ellis Loring,
                Michael Shamus Wiles,
                Andi Carnick,
                Edward Kowalczyk,
                Leonard Termo","In this darkly comic drama, Edward Norton stars as a depressed young man (named in the credits only as ""Narrator"") who has become a small cog in the world of big business. He doesn't like his work and gets no sense of reward from it, attempting instead to drown his sorrows by putting together the ""perfect"" apartment. He can't sleep and feels alienated from the world at large; he's become so desperate to relate to others that he's taken to visiting support groups for patients with terminal diseases so that he'll have people to talk to. One day on a business flight, he discovers Tyler Durden (Brad Pitt), a charming iconoclast who sells soap. Tyler doesn't put much stock in the materialistic world, and he believes that one can learn a great deal through pain, misfortune, and chaos. Tyler cheerfully challenges his new friend to a fight. Our Narrator finds that bare-knuckle brawling makes him feel more alive than he has in years, and soon the two become friends and roommates, meeting informally to fight once a week. As more men join in, the ""fight club"" becomes an underground sensation, even though it's a closely guarded secret among the participants. (First rule: Don't talk about fight club. Second rule: Don't talk about fight club.) But as our Narrator and Tyler bond through violence, a strange situation becomes more complicated when Tyler becomes involved with Marla (Helena Bonham Carter), whom our Narrator became infatuated with when they were both crashing the support-group circuit. Based on the novel by Chuck Palahniuk, Fight Club was directed by David Fincher, who previously directed Pitt in the thriller Seven. ~ Mark Deming, Rovi"
61,"Inferno,
                Inferno",(2016),Ron Howard,David Koepp,"Action & Adventure,Drama,Mystery & Suspense",",
        17,670","PG-13 (for sequences of action and violence, disturbing images, some language, thematic elements and brief sensuality),
        ,
        ,
    ,
                            ,",,,"Oct 28, 2016",121 minutes,Sony Pictures,,"Tom Hanks reprises his role as Harvard symbologist Robert Langdon in director Ron Howard and screenwriter David Koepp's adaptation of author Dan Brown's bestselling novel Inferno, which finds Langdon using Dante's The Divine Comedy as a tool in the race to prevent a devastating global pandemic. ~ Jason Buchanan, Rovi"
62,"The Women,
                The Women",(2008),Diane English,Diane English,"Comedy,Drama",",
            3.0/5","PG-13 (for sex-related material, language, some drug use and brief smoking),
        ,
        ,
    ,
        ,
        ,
    ,
                        ,",,Picturehouse Entertainment,"Sep 4, 2008","Dec 19, 2008","$26,814,683.00","Meg Ryan,
                Annette Bening,
                Eva Mendes,
                Debra Messing,
                Bette Midler,
                Candice Bergen,
                Carrie Fisher,
                Cloris Leachman,
                Debi Mazar,
                India Ennenga,
                Joanna Gleason,
                Ana Gasteyer,
                Lynn Whitfield,
                Tilly Scott Pedersen,
                Jill Flint,
                Jada Pinkett Smith","Mary Haines is a clothing designer who seems to have it all--a beautiful country home, a rich financier husband, an adorable 11-year-old daughter and a part-time career creating designs for her father's venerable clothing company. Her best friend, Sylvie Fowler, leads another enviable life--a happily single editor of a prominent fashion magazine, a possessor of a huge closet of designer clothes and a revered arbiter of taste and style poised on New York's cutting edge. But when Mary's husband enters into an affair with Crystal Allen, a sultry ""spritzer girl"" lurking behind the Saks Fifth Avenue perfume counter, all hell breaks loose. Mary and Sylvie's relationship is tested to the breaking point while their tight-knit circle of friends, including mega-mommy Edie Cohen and author Alex Fisher, all start to question their own friendships and romantic relationships as well."
63,Look Up in the Sky: The Amazing Story of Superman,(2006),"Kevin Burns,Kevin Burns (III)","Steven Smith,James Grant Goldin","Documentary,Television",",
            3.8/5","NR,
        ,
        ,",110 minutes,,"Jun 12, 2006","Jun 20, 2006",",","Kevin Spacey,
                Kevin Burns (III)","From the comic book to the silver screen and beyond, few superheroes have left such a lasting impression on the fantasy-loving masses as mild-mannered ""Daily Planet""-reporter-turned-high-flying-bulletproof-do-gooder Superman. In this documentary set to celebrate the release of X-Men director Bryan Singer's 2006 film Superman Returns, the exciting history of the Man of Steel is told through interviews and archival footage of past Superman films, television shows, and comics. A special sneak preview of newly released footage from Superman Returns ensured that fans received a comprehensive history of their favorite caped crusader that led right up to the release of the highly anticipated film."
64,Che,(2008),Josh Evans,Josh Evans,"Drama,Special Interest",",
            3.1/5",R (for some violence),80 minutes,,,,,,"Eduardo Noriega dons the beret of beloved Cuban revolutionary Che Guevara in this biopic from director Josh Evans. The leader of the socialist revolt that would shake the entire world, Guevara gave birth to a legacy that would inspire idealists and revolutionaries for years to come."
65,"Mercury Rising,
                Mercury Rising",(1998),Harold Becker,"Mark Rosenthal,Lawrence Konner","Action & Adventure,Mystery & Suspense",",
            3.0/5","R (violence, language),
        ,
        ,
    ,
        ,
        ,",112 minutes,,"Apr 3, 1998","Jan 2, 2002",",","Bruce Willis,
                Alec Baldwin,
                Miko Hughes,
                Chi McBride,
                Kim Dickens,
                Robert Stanton,
                Bodhi Elfman,
                Carrie Preston,
                L.L. Ginter,
                John Carroll Lynch,
                Peter Stormare,
                Kevin Conway,
                Kelley Hazen,
                John Doman,
                Richard Riehle,
                Chad Lindberg,
                Hank Harris,
                James MacDonald,
                Lindsey Lee Ginter,
                Camryn Manheim,
                Jack Conley,
                Maricela Ochoa,
                Peter Fontana,
                Kirk B.R. Woller,
                Betsy Brantley,
                Ashley Knutson,
                Tom Gallop,
                Margaret Travolta,
                Tiffany Fraser,
                Koko Taylor,
                Matt Levert,
                Lisa Summerour,
                Barbara Alexander,
                Gwen McGee,
                Ned Schmidtke,
                Kristina Eliot Johnson,
                James Krag,
                Wadell Brown,
                Tim Grimm,
                John Scanlon,
                Annabel Armour,
                Brent Freeman,
                Gary Hand,
                Michael Chieffo,
                Steve Key,
                Darryl Alan Reed,
                Steve Rankin,
                Maureen Gallagher,
                Mark Collins,
                Denise Woods,
                Kim Robillard","In this action suspense thriller, nine-year-old autistic savant Simon deciphers a government code and calls in for his prize. Worried about national security, NSA officials send an assassin to kill him. His parents are killed but he is saved by an FBI agent who drags him through Chicago to protect him."
66,The Great Love Experiment,(1982),Claudia Weill,,"Comedy,Romance",",
            
                    N/A",NR,,,,,,,"In this HBO special, an awkward young girl unwittingly becomes the subject of a cruel experiment, when a group of popular high school seniors decide to have a little fun."
67,Recycle,(2008),"Mahmoud al Massad,Paul Al-Massad",Paul Al-Massad,"Art House & International,Documentary,Special Interest",",
            3.4/5","NR,
        ,
        ,",,,,,,,"In this earnest documentary, Jordanian filmmaker and father Mahmoud Massad provides a glimpse into his life in the city of Zarqa. Plagued with poverty and seized by the constant tumult of extremist politics, Massad tries to create and maintain stability both for his family, and for his own sense of self."
68,Hounded,(2001),Neal Israel,"Don Calame,Chris Conroy,Don Calame","Comedy,Drama,Kids & Family,Television",",
            3.1/5","NR,
        ,
        ,",92 minutes,,,,,,"Directed by Neal Israel, Hounded is a made-for-television family film about a 13-year-old boy named Jay Martin who has both a school paper and his chances for a scholarship stolen by his rival, Ronny Van Dusen, who just so happens to be the headmaster's son. Jay concocts a plan to right the situation, but when he breaks into the headmaster's house, he can't stop the Van Dusen's dog from following him home. As if that weren't enough, without the proper medication, the dog gets completely out of control. The film originally aired in 2001 and stars Tahj Mowry as Jay, Shia LaBeouf as Ronny, and Ed Begley Jr. as Mr. Van Dusen."
69,Dearest Sister: Nong Hak,(2016),Mattie Do,Christopher Larsen (III),"Art House & International,Drama,Horror",",
            
                    N/A","NR,
        ,
        ,",,,,,,,
70,"Adult World,
                Adult World",(2014),Scott Coffey,Andrew Cochran,Comedy,",
            3.0/5","R (for sexual content and some drug use),
        ,
        ,
    ,
        ,
        ,",,IFC Films,"Feb 14, 2014","Jun 9, 2014","$16,740.00","Emma Roberts,
                Evan Peters,
                John Cusack,
                Armando Riesco,
                Shannon Woodward,
                Reed Birney,
                Catherine Lloyd Burns,
                Cloris Leachman,
                Summer Shelton,
                Chris Riggi,
                Manu Gargi,
                Pat Squire,
                Scott Coffey,
                Patricia Squire,
                John Cullum,
                Joshua B. Ward,
                William Szczech,
                Becky Cerio,
                Edward Ellison,
                A. Kyo Moon,
                Marshico Robinson,
                Darin Turnbull,
                Evelina Oboza,
                Lauren Leah Mitchell,
                Alexander Edinger,
                Jo Mei,
                Avery Pastella","Adult World is a satirical comedy about an eccentric young woman, Amy Anderson, (Emma Roberts) who has just come out of university, convinced she's going to be a famous poet. Saddled with debt and unemployed she moves back in with her parents who force her to get a job. Desperate and armed with a poetry degree and not much else she takes the only job she can find, working in an adult book store called Adult World. Meanwhile, desperate to get her poems published, Amy stalks an aging punk poet figure named Rat Billings (John Cusack), ""one of the greatest poets of the early 90s."" Rat reluctantly agrees to mentor her. As Amy makes new friends, including a drag queen named Rubia, the elderly couple who own Adult World, and Alex, the charming and quirky young manager, she learns that she might not be the voice of her generation after all. (c) IFC Films"
71,Coconut Hero,(2015),Florian Micoud Cossen,,"Art House & International,Comedy,Drama",",
            2.7/5","NR,
        ,
        ,",,,,,,,"16-year-old Mike, suffering from a fatal brain tumor, reconsiders his struggles when he meets the love of his life - without even knowing what love is."
72,"Vice,
                Vice",(2015),Brian A. Miller,"Jeremy Passmore,Fabrizio De Andre","Action & Adventure,Science Fiction & Fantasy",",
            2.0/5","R (for violence, pervasive language, strong sexual content/nudity),
        ,
        ,
    ,
        ,
        ,",96 minutes,,"Jan 16, 2015","Mar 17, 2015",",","Thomas Jane,
                Bruce Willis,
                Ambyr Childers,
                Brett Granstaff,
                Charlotte Kirk,
                Ryan O'Nan,
                Bryan Greenberg,
                Johnathon Schaech,
                David Gordon,
                Colin Egglesfield,
                Cameron Brexler,
                Jesse Pruett,
                Tyler Olson,
                Don Harvey,
                Nikki BreAnne Wells,
                Douglas M. Griffin,
                Martin Blencowe,
                Damon Lipari,
                Ashley Kirk,
                Heather Alexandra,
                Ric Miller,
                Tamara Belous,
                Courtney Turk,
                Emily June Ellis,
                Eddie Matthews,
                Grant Koo,
                Gene Murrell,
                Stephen Cyrus Sepher,
                Geoff Reeves,
                Valerie Theobald,
                Valerie Theobaldt,
                Rachel Lantham","Julian Michaels (Bruce Willis) has designed the ultimate resort: VICE, where anything goes and the customers can play out their wildest fantasies with artificial inhabitants who look, think and feel like humans. When an artificial (Ambyr Childers) becomes self-aware and escapes, she finds herself caught in the crossfire between Julian's mercenaries and a cop (Thomas Jane) who is hell-bent on shutting down Vice, and stopping the violence once and for all. (C) Lionsgate"
73,The Soldier,(1982),James Glickenhaus,"James Glickenhaus,Jeffrey C. Sherman","Action & Adventure,Drama,Mystery & Suspense",",
            2.8/5","R,
        ,
        ,",,,,,,,Soviets steal a cache of plutonium leaving one rogue super CIA agent to steal it back and save the world.
74,Tombstone: The History of the Undertaker,(2005),Kevin Dunn,,Documentary,",
            4.4/5","NR,
        ,
        ,",,,,,,,
75,Aliens (Special Edition),(1986),"James Cameron,Sigourney Weaver,Michael Biehn,Paul Reiser,Lance Henriksen,Bill Paxtonjames Cameron",James Cameron,"Action & Adventure,Horror,Science Fiction & Fantasy",",
            4.6/5","NR,
        ,
        ,",,,,,,,"Sigourney Weaver stars in Aliens, the sequel to the 1979 blockbuster Alien, reprising her role as Officer Ripley, the sole survivor of the spaceship Nostromo's encounter with a deadly extraterrestrial. This time she returns to the very planet where her nightmare originally began with a squad of heavily armed marines, in a search-and-rescue mission for some missing space colonists. -- (C) Fox"
76,"Crash Site,
                Crash Site",(2011),Jason Bourque,,"Drama,Horror,Mystery & Suspense",",
            
                    N/A",NR,,,,,,"Charisma Carpenter,
                Sebastian Spence,
                Katie Findlay,
                Steven Grayhm,
                Keith MacKechnie,
                Matty Finochio","Realizing that his marriage is in trouble and that he needs to make an effort to save his family, Daniel heads to a cabin in the woods for a much needed vacation with his wife Rita, their daughter Frances and her boyfriend Matthew. A couple days into the trip, Daniel and Rita head off on their own camping trip in hopes of rekindling their romance and end up crashing in the wilderness. Stranded, injured and without a cell phone, they struggle to make their way back to the road in hopes of being rescued. While Daniel and Rita battle to survive both the wilderness and each other, Frances comes to realize that Matthew is not who she thought he was..."
77,I Can Do Bad All By Myself,(2005),,,Comedy,",
            4.3/5",NR,,,,,,,
78,"Grace Unplugged,
                Grace Unplugged",(2013),Brad J. Silverman,Brad J. Silverman,"Drama,Faith & Spirituality",",
            4.1/5","PG (for thematic elements and brief teen drinking),
        ,
        ,
    ,
        ,
        ,",,Roadside Attractions,"Oct 4, 2013","Feb 11, 2014","$2,507,106.00","Amanda Michalka,
                James Denton,
                Kevin Pollak,
                Shawnee Smith,
                Michael Welch,
                Jamie Grace,
                Pia Toscano,
                Chris Tomlin,
                Emma Catherwood,
                Chris Ellis,
                Zane Holtz,
                Kelly Thiebaud,
                Robert Steinberg,
                Patricia French,
                Anthony Reynolds,
                Aimee Dunn,
                Juan Martinez,
                Madison Wolfe,
                Lauren Roman,
                Monica Gambee,
                Tiffany Campbell,
                Jared Lankford,
                Mary Shaw","A talented young singer and aspiring songwriter's Christian faith and family ties are tested when she defies her worship-pastor father and pursues pop-music stardom in GRACE UNPLUGGED, a moving and inspiring new film that explores the true meaning of success. Grace Trey (AJ Michalka) has just turned 18 and aspires to do more than sing in her church's worship band, which is led by her father, Johnny Trey (James Denton), a one-time pop star who gave up his life in secular music when he became a Christian. Grace longs to escape his shadow and make a name for herself singing songs about something other than God, but Johnny warns her that fame is not as glamorous as it looks and reminds her that serving and worshipping God with the talent she's been given is a far more worthwhile goal. (c) Roadside"
79,"Annabelle,
                Annabelle",(2014),John R. Leonetti,Gary Dauberman,Horror,",
            2.9/5","R (for intense sequences of disturbing violence and terror),
        ,
        ,
    ,
        ,
        ,
    ,
                            ,",98 minutes,,"Oct 3, 2014","Jan 20, 2015",",","Annabelle Wallis,
                Ward Horton,
                Alfre Woodard,
                Tony Amendola,
                Eric Ladin,
                Kerry O'Malley,
                Brian Howe,
                Ivar Brogger,
                Geoff Wehner,
                Gabriel Bateman,
                Shiloh Nelson,
                Sasha Sheldon,
                Camden Singer,
                Robin Pearson Rose,
                Keira Daniels","Before The Conjuring, there was ANNABELLE. (C) Warner Bros."
80,Saturday Night Live - The Best Of,(2006),,,Comedy,",
            4.4/5",NR,,,,,,,
81,"Sunset,
                Sunset",(1988),Blake Edwards,"Blake Edwards,Rodney Amateau","Action & Adventure,Comedy,Drama,Mystery & Suspense,Western",",
            2.9/5","R (sexuality),
        ,
        ,
    ,
        ,
        ,",97 minutes,,"Apr 29, 1988","May 22, 2001",",","Bruce Willis,
                James Garner,
                Malcolm McDowell,
                Mariel Hemingway,
                Kathleen Quinlan,
                Jennifer Edwards,
                Patricia Hodge,
                Richard Bradford,
                M. Emmet Walsh,
                Joe Dallesandro,
                Andreas Katsulas,
                Dann Florek,
                Bill Marcus,
                Darren McGavin,
                Dermot Mulroney,
                J.A. Preston,
                Miranda Garrison,
                Liz Torres,
                Castulo Guerra,
                Michael C. Gwynne,
                Dakin Matthews,
                Vernon Wells,
                Dennis Rucker,
                John Dennis Johnston,
                Kenny Call,
                Jerry Tullos,
                Steem Tanney,
                Peter Jason,
                Richard Fancy,
                Glenn Shadix,
                Jack Garner,
                Lisa Alpert,
                Sonia Zimmer,
                Jon Van Ness,
                P. Randall Bowers,
                Maureen Teefy,
                Arnold Johnson,
                Eric Harrison,
                Amy Michelson,
                James O'Connell,
                Bing Russell,
                James C. Lewis,
                Rod McCary,
                John Fountain,
                Irene Olga Lopez,
                Jeris Poindexter,
                F. William Parker,
                Grant Heslov,
                Jimmy Lewis,
                Marina Palmier,
                Tessa Taylor,
                Bill Applegate,
                Luis Contreras,
                Charles Noland,
                Robert Covarrubias,
                Dolalin Patton,
                Paula Kay Perry,
                Don Sparks,
                Melanie Jones,
                Darrah Meeley,
                Tom Tarpey,
                Krista Gray,
                Katie Morgan,
                Teri Weigel,
                Dona Speir","Director Blake Edwards departed from his customary sex farces to direct an unusual satirical Western comedy-thriller. In 1927, legendary lawman Wyatt Earp (James Garner) comes to Hollywood to serve as an advisor to a film studio making a movie about Earp's life. He meets silent screen cowboy star Tom Mix (Bruce Willis). The two stumble upon a murder that has apparently occurred on the set but is linked to a renowned bordello. The aging cowboy and the young actor set off on a series of time-warp misadventures to try to solve the mystery. Along the way, they encounter the shady Alfie Alperin (Malcom McDowell) and the intriguing Cheryl King (Mariel Hemingway). ~ Michael Betzold, Rovi"
82,Jesse Stone: Sea Change,(2007),Robert Harmon,Ronni Kern,"Drama,Mystery & Suspense,Television",",
            3.8/5","NR,
        ,
        ,",87 minutes,,,,,,"The fourth installment of the Jesse Stone series finds restless New England police chief Stone (Tom Selleck) fighting boredom by attempting to solve a twelve year-old cold case involving a murdered bank teller. Jesse Stone is a transplanted L.A. cop who thrived on big city adrenaline, but ultimately buckled under the pressure. Exiled to Paradise after suffering though a nasty divorce and being busted for drinking on the job, Stone now leads a quiet life of writing parking tickets and trying to suppress the urge to cut loose with the booze and babes. When one of his officers out on maternity leave and the other recovering from a recent gunshot wound, Stone turns to some old cold cases to keep himself occupied. Twelve years ago, a local bank teller was killed in broad daylight. Though the gunman responsible for the crime was never brought to justice, Stone soon uncovers a crucial piece of evidence that went overlooked during the original investigation. Now, as this once-cold case gradually begins to heat up again, Stone continues his investigation into an alleged rape that tool place aboard a yacht during Race Week. ~ Jason Buchanan, Rovi"
83,"Disturbia,
                Disturbia",(2007),D.J. Caruso,"Carl Ellsworth,Christopher Landon","Drama,Mystery & Suspense",",
            3.7/5","PG-13 (for sequences of terror and violence, and some sensuality),
        ,
        ,
    ,
        ,
        ,
    ,
                        ,",,Dreamworks,"Apr 13, 2007","Aug 7, 2007","$80,050,171.00","Shia LaBeouf,
                Carrie-Anne Moss,
                David Morse,
                Sarah Roemer,
                Aaron Yoo,
                Jose Pablo Cantillo,
                Matt Craven,
                Cathy Immordino,
                Viola Davis,
                Elyse Mirto,
                Luciano Rauso,
                Brandon Caruso,
                Luciano Caruso,
                Daniel Caruso,
                Kevin Quinn,
                Amanda Walsh,
                Charles Carroll,
                Gillian Shure,
                Cindy Lou Adkins,
                Suzanne Rico,
                Kent Shocknek,
                Rene Rivera,
                Cindy Lou Adtkins,
                Dominic Daniel,
                Lisa Tobin,
                Bruce Fowler","Salton Sea director D.J. Caruso travels from the shore to the suburbs for this suspenseful tale of a high-school senior who suspects that his neighbor is a notorious serial killer. Kale (Shia LaBeouf) is a high-school senior who has yet to come to terms with the fact that his father is gone, the tragic victim of a fatal accident. As Kale's mother (Carrie-Anne Moss) struggles to pay the bills by picking up extra shifts at work, her son's behavior grows increasingly erratic. When an altercation at school finds Kale placed under court-ordered house arrest, the homebound student teams with newly arrived girl-next-door Ashley (Sarah Roemer) to investigate the suspicious neighbor (David Morse) whom Kale believes to be an elusive and wanted serial killer. Their attentions focused intensely on the man they believe to be a murderous maniac hiding in broad daylight, Kale and Ashley trespass down a dangerous path while attempting to discern whether his suspicions are grounded in fact or just a combination of deep depression and suffocating cabin fever. ~ Jason Buchanan, Rovi"
84,"Crimson Peak,
                Crimson Peak",(2015),Guillermo del Toro,"Guillermo del Toro,Matthew Robbins,Lucinda Coxon",Horror,",
            3.3/5","R (for bloody violence, some sexual content and brief strong language),
        ,
        ,
    ,
        ,
        ,
    ,
                        ,",119 minutes,,"Oct 16, 2015","Feb 9, 2016",",","Mia Wasikowska,
                Jessica Chastain,
                Tom Hiddleston,
                Charlie Hunnam,
                Jim Beaver,
                Leslie Hope,
                Emily Coutts,
                Burn Gorman,
                Joanna Douglas,
                Bruce Gray,
                Laura Waddell,
                Amanda Smith,
                Alec Stockwell,
                Sofia Wells,
                Matia Jackett,
                Gillian Ferrier,
                Kimberly-Sue Murray,
                Peter Spence,
                Martin Julien,
                Jim Watson,
                Myrna Moretti,
                Tamara Hope,
                Doug Jones,
                Javier Botet,
                Daryn Pancer,
                Brigitte Robinson,
                Jonathan Hyde,
                Bill Lake,
                Danny Waugh,
                Sean Hewitt (II),
                William K. Healy,
                Karen Glave,
                Khadijah Roberts-Abdullah,
                John Carter Craig,
                Tim Blake,
                Brian Kaulback,
                Richard Kerr,
                Shane McPherson,
                Thomas Dorey","When her heart is stolen by a seductive stranger, a young woman is swept away to a house atop a mountain of blood-red clay: a place ﬁlled with secrets that will haunt her forever. Between desire and darkness, between mystery and madness, lies the truth behind Crimson Peak. From the imagination of director Guillermo del Toro comes a supernatural mystery starring Tom Hiddleston, Jessica Chastain, Mia Wasikowska and Charlie Hunnam (C) Universal"
85,"Paramedics,
                Paramedics",(1988),Stuart Margolin,"Barry Bardo,Richard Kriegsman",Comedy,",
            3.1/5","PG,
        ,
        ,",,,"Jun 1, 1988",91 minutes,Vestron Video,,"In this sex-comedy, the fun begins when a pair of paramedics are transferred to the worst part of town. Once there, they end up uncovering a black market operation for harvesting and selling internal organs. One of them also gets involved with a deadly seductress."
